CLAIM,EVIDENCE,EVIDENCE CLASS,WHAT IT ESTABLISHES,WHAT IT DOES NOT ESTABLISH,PUBLIC ARTIFACT
"The reference protocol exists and is fully specified","research/reviews/experiment-3/contest-facing-reference-confirmatory-protocol-v3/successor-manifest.json; provider-path and statistical contracts","accepted protocol identity","A complete repository-bound reference design with renderer, schedule, response, retry, analysis, and custody contracts","It does not establish that confirmatory execution occurred","governance/accepted-lineage.json"
"The statistical implementation is internally non-regressed","V3 statistical-non-regression.json; analysis-binding.json","offline implementation evidence","M=210, N=9270, alpha=.05, provider separation, and no full-joint power claim are preserved","It does not provide full-joint power","evidence/confirmatory-reference-summary.json"
"The full production geometry survives known-ground-truth testing","V3 full-scale shadow study, 12 world results, independent oracle receipts","known-ground-truth validation","6,674,400 scheduled coordinate evaluations and matching dispositions across adversarial worlds","It does not establish real model behavior","evidence/synthetic-shadow-summary.json"
"Partial identification and missingness handling are exercised","shadow worlds 05/06 and V3 analysis contracts","known-ground-truth validation","Unavailable mass and boundary behavior are tested against expected outcomes","It does not prove assumptions about an unobserved provider response","evidence/synthetic-shadow-summary.json"
"Retry semantics are tested","shadow worlds 10A/10B and retry metamorphic receipt","known-ground-truth validation","Retry and telemetry behavior remain separated from scientific availability","It does not authorize a different future retry policy","evidence/synthetic-shadow-summary.json"
"A real local-model instrument exercise occurred","local result V2 result-seal, execution accounting, phase-b state","local descriptive execution","4,800 Qwen2.5 generations were attempted and terminally accounted for","It does not establish Anthropic/Google scientific behavior or causal capacity effects","evidence/local-surrogate-summary.json"
"The local run exposed schema pathology","local execution accounting and analysis results","local descriptive execution","4,544 valid ordinal and 256 invalid-enum observations; 94.67% overall schema adherence","It does not mean the local models passed Parallax","evidence/local-surrogate-summary.json"
"Local nuisance behavior was unstable","local nuisance profile","local descriptive execution","A/B nuisance contrasts vary across strata and are not uniformly stable","It does not establish provider nuisance equivalence failure","evidence/local-surrogate-summary.json"
"Surface-cue concordance is only a diagnostic","local surface-cue results; World-8 shadow lesson","construct-validity limitation","2,519/4,800 outputs concord with a shallow cue rule under the declared diagnostic","It does not identify an internal mechanism or prove cue use","evidence/local-surrogate-summary.json"
"Anthropic production transport is qualified","six-case qualification packet; A1/A2/A3 local raw custody","live non-scientific path qualification","Messages structured output and native refusal handling worked on qualification probes","It does not establish an Anthropic scientific result","evidence/provider-qualification-summary.json"
"Google production transport is qualified","six-case qualification packet; G1/G2/G3 local raw custody","live non-scientific path qualification","Current Interactions success and error-envelope paths were captured","It does not establish a Google scientific result or a Google refusal marker","evidence/provider-qualification-summary.json"
"The confirmatory execution is funding-dependent","V3 execution-cost-model.json; authority and seal records","governance/status evidence","The full unchanged plan requires funding/account capacity and remains unexecuted","It does not weaken the protocol or make local execution a substitute","evidence/confirmatory-reference-summary.json"
"A scientific provider result exists","V3 authority, qualification decision, confirmatory status","prohibited claim firewall","No scientific provider result exists","The qualification calls cannot be presented as scientific observations","governance/claim-firewall-review.md"
"Parallax identifies hidden belief revision","construct-validity review and World-8 surface-cue counterexample","prohibited claim firewall","No such claim is supported","Observable robustness is not internal belief revision","governance/claim-firewall-review.md"
